Type,Cases,Deaths
True Data,1.0,0.0
True Data,1.0,0.0
True Data,2.0,0.0
True Data,2.0,0.0
True Data,2.0,0.0
True Data,4.0,0.0
True Data,4.0,0.0
True Data,4.0,0.0
True Data,4.0,0.0
True Data,4.0,0.0
True Data,5.0,0.0
True Data,5.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,7.0,0.0
True Data,8.0,0.0
True Data,8.0,0.0
True Data,8.0,0.0
True Data,8.0,0.0
True Data,9.0,0.0
True Data,9.0,0.0
True Data,9.0,0.0
True Data,10.0,0.0
True Data,12.0,0.0
True Data,12.0,0.0
True Data,14.0,0.0
True Data,15.0,0.0
True Data,21.0,0.0
True Data,26.0,0.0
True Data,32.0,0.0
True Data,37.0,0.0
True Data,42.0,0.0
True Data,46.0,0.0
True Data,60.0,0.0
True Data,64.0,0.0
True Data,74.0,0.0
True Data,88.0,1.0
True Data,92.0,1.0
True Data,127.0,1.0
True Data,141.0,1.0
True Data,213.0,1.0
True Data,236.0,1.0
True Data,296.0,1.0
True Data,450.0,4.0
True Data,532.0,6.0
True Data,732.0,11.0
True Data,921.0,11.0
True Data,1175.0,15.0
True Data,1653.0,19.0
True Data,2045.0,22.0
True Data,2600.0,29.0
True Data,3185.0,33.0
True Data,3683.0,42.0
True Data,4550.0,57.0
True Data,5249.0,66.0
True Data,6085.0,82.0
True Data,7015.0,96.0
True Data,8121.0,125.0
True Data,9246.0,152.0
True Data,10527.0,175.0
True Data,12219.0,224.0
True Data,13559.0,277.0
True Data,14906.0,360.0
True Data,16475.0,435.0
True Data,17521.0,520.0
True Data,18858.0,581.0
True Data,20122.0,648.0
True Data,21502.0,771.0
True Data,22777.0,867.0
True Data,24084.0,986.0
True Data,25303.0,1095.0
True Data,26937.0,1225.0
True Data,28563.0,1361.0
True Data,30223.0,1515.0
True Data,32790.0,1718.0
True Data,34876.0,1844.0
True Data,36358.0,1987.0
True Data,38026.0,2145.0
True Data,39591.0,2291.0
True Data,41334.0,2484.0
True Data,43641.0,2679.0
True Data,45310.0,2850.0
True Data,47007.0,3030.0
True Data,48570.0,3217.0
True Data,50002.0,3374.0
True Data,51621.0,3559.0
True Data,53297.0,3756.0
True Data,55061.0,4000.0
True Data,56716.0,4179.0
True Data,58549.0,4381.0
True Data,60023.0,4529.0
True Data,61183.0,4669.0
True Data,62743.0,4911.0
True Data,64100.0,5081.0
True Data,65703.0,5240.0
True Data,67146.0,5387.0
True Data,68485.0,5540.0
True Data,69645.0,5704.0
True Data,70736.0,5822.0
True Data,71886.0,5956.0
True Data,73083.0,6107.0
True Data,74307.0,6210.0
True Data,75428.0,6331.0
True Data,76691.0,6452.0
True Data,77871.0,6571.0
True Data,78992.0,6661.0
True Data,80033.0,6753.0
True Data,81183.0,6828.0
True Data,82488.0,6950.0
True Data,83650.0,7046.0
True Data,84814.0,7144.0
True Data,85823.0,7238.0
True Data,86749.0,7326.0
True Data,87697.0,7420.0
True Data,88502.0,7512.0
True Data,89380.0,7606.0
True Data,90219.0,7717.0
True Data,91054.0,7797.0
True Data,91805.0,7857.0
True Data,92488.0,7906.0
True Data,93330.0,7952.0
True Data,93991.0,8008.0
True Data,94658.0,8062.0
True Data,95283.0,8126.0
True Data,95949.0,8166.0
True Data,96497.0,8228.0
True Data,97164.0,8269.0
True Data,97685.0,8313.0
True Data,98174.0,8347.0
True Data,98669.0,8382.0
True Data,99118.0,8413.0
True Data,99548.0,8442.0
True Data,99959.0,8470.0
True Data,100286.0,8489.0
True Data,100655.0,8497.0
True Data,101021.0,8521.0
True Data,101429.0,8542.0
True Data,101830.0,8555.0
True Data,102233.0,8580.0
True Data,102652.0,8609.0
True Data,102957.0,8626.0
True Data,103313.0,8646.0
True Data,103707.0,8670.0
True Data,104063.0,8700.0
True Data,104387.0,8723.0
True Data,104638.0,8730.0
True Data,104975.0,8739.0
True Data,105348.0,8749.0
True Data,105732.0,8768.0
True Data,106029.0,8780.0
True Data,106227.0,8790.0
True Data,106583.0,8806.0
True Data,106903.0,8813.0
True Data,107116.0,8821.0
True Data,107303.0,8823.0
True Data,107718.0,8836.0
True Data,107973.0,8843.0
True Data,108302.0,8855.0
True Data,108617.0,8865.0
True Data,108957.0,8879.0
True Data,109133.0,8882.0
True Data,109292.0,8887.0
True Data,109965.0,8895.0
True Data,110352.0,8900.0
True Data,110713.0,8914.0
True Data,111160.0,8926.0
True Data,111630.0,8936.0
True Data,111976.0,8939.0
True Data,112231.0,8943.0
True Data,112982.0,8947.0
True Data,113487.0,8954.0
True Data,113836.0,8958.0
True Data,114494.0,8966.0
True Data,115208.0,8970.0
True Data,115554.0,8974.0
True Data,115851.0,8978.0
True Data,116477.0,8991.0
True Data,116838.0,9001.0
True Data,117325.0,9006.0
True Data,117740.0,9019.0
True Data,118297.0,9025.0
True Data,118523.0,9029.0
True Data,118719.0,9032.0
True Data,118945.0,9035.0
True Data,119658.0,9043.0
True Data,120002.0,9049.0
True Data,120315.0,9055.0
True Data,120851.0,9060.0
True Data,121084.0,9064.0
True Data,121296.0,9067.0
True Data,121926.0,9074.0
True Data,122271.0,9080.0
True Data,122580.0,9085.0
True Data,123051.0,9091.0
True Data,123464.0,9095.0
True Data,123670.0,9101.0
True Data,123826.0,9106.0
True Data,124035.0,9108.0
True Data,124936.0,9118.0
True Data,125269.0,9124.0
True Data,125505.0,9127.0
True Data,126212.0,9141.0
True Data,126421.0,9142.0
True Data,126680.0,9146.0
True Data,127433.0,9154.0
True Data,127778.0,9159.0
True Data,128239.0,9164.0
