Country,Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
United States,2020-01-22,1.0,0.0,0.0,3.0469226081657523e-07,,0.0,0.0
United States,2020-01-23,1.0,0.0,0.0,3.0469226081657523e-07,0.0,0.0,0.0
United States,2020-01-24,2.0,0.0,0.0,6.093845216331505e-07,3.0469226081657524e-05,0.0,0.0
United States,2020-01-25,2.0,0.0,0.0,6.093845216331505e-07,0.0,0.0,0.0
United States,2020-01-26,5.0,0.0,0.0,1.5234613040828764e-06,9.14076782449726e-05,0.0,0.0
United States,2020-01-27,5.0,0.0,0.0,1.5234613040828764e-06,0.0,0.0,0.0
United States,2020-01-28,5.0,0.0,0.0,1.5234613040828764e-06,0.0,0.0,0.0
United States,2020-01-29,6.0,0.0,0.0,1.8281535648994516e-06,3.0469226081657524e-05,0.0,0.0
United States,2020-01-30,6.0,0.0,0.0,1.8281535648994516e-06,0.0,0.0,0.0
United States,2020-01-31,8.0,0.0,0.0,2.437538086532602e-06,6.093845216331503e-05,0.0,0.0
United States,2020-02-01,8.0,0.0,0.0,2.437538086532602e-06,0.0,0.0,0.0
United States,2020-02-02,8.0,0.0,0.0,2.437538086532602e-06,0.0,0.0,0.0
United States,2020-02-03,11.0,0.0,0.0,3.3516148689823278e-06,9.14076782449726e-05,0.0,0.0
United States,2020-02-04,11.0,0.0,0.0,3.3516148689823278e-06,0.0,0.0,0.0
United States,2020-02-05,11.0,0.0,0.0,3.3516148689823278e-06,0.0,0.0,0.0
United States,2020-02-06,12.0,0.0,0.0,3.6563071297989032e-06,3.0469226081657545e-05,0.0,0.0
United States,2020-02-07,12.0,0.0,0.0,3.6563071297989032e-06,0.0,0.0,0.0
United States,2020-02-08,12.0,0.0,0.0,3.6563071297989032e-06,0.0,0.0,0.0
United States,2020-02-09,12.0,0.0,0.0,3.6563071297989032e-06,0.0,0.0,0.0
United States,2020-02-10,12.0,0.0,0.0,3.6563071297989032e-06,0.0,0.0,0.0
United States,2020-02-11,13.0,0.0,0.0,3.960999390615478e-06,3.04692260816575e-05,0.0,0.0
United States,2020-02-12,13.0,0.0,0.0,3.960999390615478e-06,0.0,0.0,0.0
United States,2020-02-13,14.0,0.0,0.0,4.265691651432054e-06,3.0469226081657545e-05,0.0,0.0
United States,2020-02-14,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-15,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-16,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-17,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-18,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-19,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-20,14.0,0.0,0.0,4.265691651432054e-06,0.0,0.0,0.0
United States,2020-02-21,16.0,0.0,0.0,4.875076173065204e-06,6.0938452163315e-05,0.0,0.0
United States,2020-02-22,16.0,0.0,0.0,4.875076173065204e-06,0.0,0.0,0.0
United States,2020-02-23,16.0,0.0,0.0,4.875076173065204e-06,0.0,0.0,0.0
United States,2020-02-24,16.0,0.0,0.0,4.875076173065204e-06,0.0,0.0,0.0
United States,2020-02-29,25.0,1.0,0.0,7.617306520414381e-06,0.0002742230347349177,4.0,0.0
United States,2020-03-01,32.0,1.0,348.0,9.750152346130407e-06,0.00021328458257160264,3.125,10.875
United States,2020-03-02,55.0,6.0,861.0,1.675807434491164e-05,0.0007007921998781233,10.909090909090908,15.654545454545454
United States,2020-03-03,74.0,7.0,1480.0,2.2547227300426568e-05,0.0005789152955514927,9.45945945945946,20.0
